"word","tfidfNeg","freqNeg","tfidfPos","freqPos"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"act",0.176106944524573,0.037037037037037,NA,NA
"adjac",0.176106944524573,0.037037037037037,NA,0.00138773244518457
"admiss",0.176106944524573,0.037037037037037,0.145826156349315,0.0274771024146545
"advanc",0.176106944524573,0.037037037037037,0.0752739658995186,0.0116569525395504
"advic",0.176106944524573,0.037037037037037,NA,0.00444074382459062
"advis",0.176106944524573,0.037037037037037,NA,0.00499583680266445
"afternoon",0.352213889049146,0.0740740740740741,0.237574162736394,0.0549542048293089
"ahead",0.176106944524573,0.037037037037037,NA,0.00305301137940605
"amaz",0.278139814975072,0.0740740740740741,0.411265609573834,0.133222314737719
"american",0.176106944524573,0.037037037037037,0.218230529355926,0.0485706355814599
"amount",0.176106944524573,0.037037037037037,0.0724904881217268,0.0111018595614765
"answer",0.278139814975072,0.0740740740740741,NA,0.00138773244518457
"apologis",0.176106944524573,0.037037037037037,NA,NA
"appar",0.176106944524573,0.037037037037037,NA,0.00305301137940605
"approach",0.176106944524573,0.037037037037037,NA,0.00471829031362753
"art",0.823280556570516,0.703703703703704,0.791741037424791,0.893144601720788
"artist",0.469618518732194,0.148148148148148,0.531745116964824,0.204274215931168
"artwork",0.528320833573719,0.111111111111111,0.173787428135105,0.0349708576186511
"attempt",0.176106944524573,0.037037037037037,NA,0.00166527893422148
"audio",0.352213889049146,0.111111111111111,0.273378824331863,0.06744379683597
"avoid",0.176106944524573,0.037037037037037,0.0886519552905011,0.0144324174299195
"background",0.176106944524573,0.037037037037037,NA,0.00444074382459062
"bad",0.278139814975072,0.0740740740740741,NA,0.00416319733555371
"bag",0.176106944524573,0.037037037037037,NA,0.00388565084651679
"bar",0.176106944524573,0.037037037037037,NA,0.00693866222592284
"baron",0.176106944524573,0.037037037037037,0.132433577828318,0.0230363585900638
"basic",0.352213889049146,0.111111111111111,NA,0.00527338329170136
"behold",0.176106944524573,0.037037037037037,NA,0.00111018595614765
"benefit",0.176106944524573,0.037037037037037,NA,0.00305301137940605
"big",0.417209722462608,0.111111111111111,0.251366950120948,0.0607826810990841
"bonnard",0.176106944524573,0.037037037037037,NA,0.00222037191229531
"book",0.278139814975072,0.0740740740740741,0.148772139305867,0.0280321953927283
"bore",0.408131481801995,0.148148148148148,NA,NA
"bought",0.176106944524573,0.037037037037037,0.0868775199104795,0.0138773244518457
"build",0.528320833573719,0.111111111111111,0.251109716415774,0.0613377740771579
"bypass",0.176106944524573,0.037037037037037,NA,NA
