"word","tfidf","tf"
"the impressionist",0.0754901418465372,68
"can be",0.0752450609913654,67
"thyssen museum",0.0752450609913654,67
"love this",0.0749522106119967,67
"western art",0.0744907414690838,65
"and modern",0.0743799927017351,67
"high recommend",0.0743799927017351,67
"madrid and",0.0743799927017351,67
"have time",0.0736536591580535,64
"the special",0.0736536591580535,64
"more modern",0.0735495141538335,66
"prado it",0.0735495141538335,66
"collection this",0.0732698435569331,66
"also a",0.0727148311907431,65
"collect was",0.0727148311907431,65
"get a",0.0727148311907431,65
"someth for",0.0727148311907431,65
"the way",0.0724489280546173,64
"art this",0.0724351275757451,65
"of impressionist",0.0724351275757451,65
"be missed",0.0721600928240334,64
"exhibit on",0.0721600928240334,64
"great collection",0.0718998151571106,63
"a monday",0.0718758791559311,64
"get the",0.0718758791559311,64
"madrid this",0.0718758791559311,64
"visit in",0.0718758791559311,64
"collection we",0.0715961414801163,64
"of work",0.0715961414801163,64
"wonder museum",0.0715961414801163,64
"art i",0.0710325913736578,63
"enjoy it",0.0710325913736578,63
"paint in",0.0710325913736578,63
"museum we",0.0707528185441197,63
"see in",0.0707528185441197,63
"time and",0.0707528185441197,63
"favorit museum",0.0702011438850197,61
"i went",0.0701848990529105,62
"the great",0.0699066958402171,61
"mani of",0.0696172813425992,61
"miss it",0.0696172813425992,61
"modern and",0.0693450527895578,60
"art it",0.0693327311851473,61
"madrid the",0.0693327311851473,61
"the whole",0.0690528845520571,61
"number of",0.0690503054606752,60
"to view",0.0687848309150279,59
"museum it",0.0681961290345711,60
"prado this",0.0681961290345711,60
"than prado",0.0681893019097318,59
"your visit",0.0681893019097318,59
"of paintings",0.0678994670363306,59
"the main",0.0678994670363306,59
"is worth",0.0676146730257837,59
"the day",0.0676146730257837,59
"your way",0.0676146730257837,59
"paint are",0.0670335510299058,58
"start at",0.0670335510299058,58
"the histori",0.0670335510299058,58
"a fantast",0.066748628611986,58
"del prado",0.0665690922243255,55
"museum but",0.066468661618567,58
"visit and",0.066468661618567,58
"galleri in",0.0664531417314676,57
"on loan",0.0659194172887069,55
"i found",0.0658778001500799,57
"i visit",0.0655977901876414,57
"enough to",0.0652872971396875,56
"interest in",0.0652872971396875,56
"museum that",0.0652872971396875,56
"we enjoy",0.0650021037548917,56
"nice museum",0.0646975608018781,55
"the restaur",0.0646975608018781,55
"visit madrid",0.0646975608018781,55
"paint of",0.0644118506473559,54
"much to",0.0644067890218647,55
"we saw",0.0644067890218647,55
"exhibit which",0.0641214525479073,55
"i think",0.0641214525479073,55
"take a",0.0641214525479073,55
"wide rang",0.0641214525479073,55
"worth it",0.0641214525479073,55
"this place",0.0641090623611649,54
"spend a",0.0638413519021258,55
"european art",0.0635223475691176,53
"monday afternoon",0.0635212415145712,54
"a collect",0.0632357564941944,54
"miss the",0.0629218575026248,53
"best art",0.0626305615695975,53
"the big",0.0626305615695975,53
"around the",0.0623449222272643,53
"not miss",0.0623449222272643,53
"perman collection",0.0623449222272643,53
"excel museum",0.0620647239665241,53
"i realli",0.0620647239665241,53
"museum for",0.0620262265493056,52
"love it",0.0614488528607371,52
"the second",0.0614488528607371,52
"too much",0.0614488528607371,52
"get in",0.0614232861395892,51
"amaz collection",0.0611686029399574,52
"well known",0.0611252778495283,51
"definit worth",0.0605474477855446,51
"start on",0.0605474477855446,51
"the collection",0.0605474477855446,51
"to find",0.0605474477855446,51
"a huge",0.0602671441518768,51
"and mani",0.0602671441518768,51
"prado is",0.0602671441518768,51
"see a",0.0602671441518768,51
"well organ",0.0602671441518768,51
"a special",0.0596406024512554,50
"in art",0.0596406024512554,50
"need to",0.0596406024512554,50
"wonder collect",0.0596406024512554,50
"centuri to",0.0593602429270045,50
"for free",0.0593602429270045,50
"our visit",0.0593602429270045,50
"exhibit is",0.0590145298203896,49
"the entranc",0.0590145298203896,49
"make it",0.0587282081299389,49
"of artist",0.0587282081299389,49
"time for",0.0587282081299389,49
"el prado",0.0587094656846532,47
"paseo del",0.0586888589752517,48
"can see",0.0584477904022303,49
"of great",0.0584477904022303,49
"get to",0.0583894703877139,48
"great place",0.0583894703877139,48
"the one",0.0583894703877139,48
"the layout",0.0578101516607898,48
"visit it",0.0578101516607898,48
"visit on",0.0575296732701442,48
"way down",0.0575296732701442,48
"work your",0.0575296732701442,48
"you get",0.0575296732701442,48
"art on",0.0574603281168946,46
"full of",0.0571730230879698,47
"like a",0.0571730230879698,47
"seem to",0.0571730230879698,47
"world class",0.0571730230879698,47
"walk through",0.0568863151735146,47
"see it",0.05660577350119,47
"of european",0.056537000214407,46
"museum of",0.0559565757882258,46
"mix of",0.0559027898923037,45
"a larg",0.0556759680421632,46
"collect from",0.0556759680421632,46
"el greco",0.0556759680421632,46
"madrid i",0.0556759680421632,46
"the place",0.0556759680421632,46
"becaus it",0.0553079349923547,45
"chronolog order",0.0550208052892985,45
"collect that",0.0550208052892985,45
"collection i",0.0550208052892985,45
"must visit",0.0550208052892985,45
"the last",0.0550208052892985,45
"the staff",0.0550208052892985,45
"see and",0.0547401284884818,45
"th and",0.0547401284884818,45
"an hour",0.054366225275728,44
"more time",0.054366225275728,44
"museum as",0.054366225275728,44
"sure to",0.054366225275728,44
"and th",0.0540788697703023,44
"excel collect",0.0540788697703023,44
"old master",0.0540788697703023,44
"tri to",0.0540788697703023,44
"museum a",0.0537981207273141,44
"the ticket",0.0537129154136189,43
"make sure",0.0531306292467342,43
"the artist",0.0531306292467342,43
"see this",0.05284980454825,43
"this galleri",0.05284980454825,43
"you go",0.05284980454825,43
"quit a",0.0527589063319386,42
"renoir exhibit",0.0527341482152667,41
"the spanish",0.0524637778458603,42
"best of",0.0521759372328168,42
"for art",0.0521759372328168,42
"go on",0.0521759372328168,42
"i spent",0.0521759372328168,42
"style and",0.0521759372328168,42
"unlik the",0.0521759372328168,42
"sofia and",0.0518950332177403,42
"good museum",0.0515027418954639,41
"audio guide",0.0512146402781017,41
"is just",0.0512146402781017,41
"smaller than",0.0512146402781017,41
"the end",0.0512146402781017,41
"build is",0.0509336530129878,41
"centuri art",0.0509336530129878,41
"madrid we",0.0509336530129878,41
"offer a",0.0509336530129878,41
"art history",0.0505349536610792,40
"th to",0.0505349536610792,40
"the room",0.0505349536610792,40
"the queue",0.0504755209156662,39
"an interest",0.0502465774589891,40
"in chronolog",0.0502465774589891,40
"is great",0.0502465774589891,40
"to walk",0.0502465774589891,40
"trip to",0.0502465774589891,40
"just a",0.0499655027103431,40
"thyssen and",0.0499655027103431,40
"you need",0.0499655027103431,40
"interest and",0.0495602452750627,39
"period and",0.0495602452750627,39
"the free",0.0495602452750627,39
"a realli",0.0492715798195522,39
"beauti museum",0.0492715798195522,39
"day to",0.0492715798195522,39
"decid to",0.0492715798195522,39
"museum on",0.0492715798195522,39
"take your",0.0492715798195522,39
"hour here",0.0489904130225144,39
"love museum",0.0489904130225144,39
"take the",0.0489904130225144,39
"the artwork",0.0489904130225144,39
"ticket for",0.0489904130225144,39
"veri much",0.0489904130225144,39
"prado or",0.048578440340576,38
"will be",0.048578440340576,38
"collect with",0.0482894697551893,38
"famous artist",0.0482894697551893,38
"qualiti of",0.0482894697551893,38
"would recommend",0.0482894697551893,38
"the museo",0.0481821110484092,36
"collection a",0.0480082059780252,38
"day in",0.0480082059780252,38
"rang from",0.0480082059780252,38
"to th",0.0480082059780252,38
"in spain",0.0478870326635808,37
"piec of",0.0475893532674358,37
"a real",0.0473000603316135,37
"art that",0.0473000603316135,37
"lesser known",0.0473000603316135,37
"madrid it",0.0473000603316135,37
"this art",0.0473000603316135,37
"american art",0.0471985299711744,36
"a long",0.0470186942353159,37
"amount of",0.0470186942353159,37
"and easi",0.0470186942353159,37
"was free",0.0470186942353159,37
"i saw",0.0468910696014816,36
"portrait of",0.0468910696014816,36
"the renoir",0.0465357950243422,34
"art histori",0.0463031545304781,36
"contemporari art",0.0463031545304781,36
"high recommended",0.0463031545304781,36
"plan to",0.0463031545304781,36
"take in",0.0463031545304781,36
"was also",0.0463031545304781,36
"and see",0.0460216803226509,36
"can get",0.0460216803226509,36
"collection it",0.0460216803226509,36
"exhibit are",0.0460216803226509,36
"lunch in",0.0460216803226509,36
"on mondays",0.0460216803226509,36
"time we",0.0460216803226509,36
"you love",0.0460216803226509,36
"art of",0.0458874596941973,35
"excel collection",0.0458874596941973,35
"art gallery",0.0455885398903293,35
"overview of",0.0455885398903293,35
"art museums",0.0452985444114953,35
"for everyone",0.0452985444114953,35
"monday from",0.0452985444114953,35
"and veri",0.0450169557935203,35
"go back",0.0450169557935203,35
"hard to",0.0450169557935203,35
"middl age",0.0450169557935203,35
"prado which",0.0450169557935203,35
"street from",0.0450169557935203,35
"be sure",0.0445763894172202,34
"hour in",0.0445763894172202,34
"the s",0.0445763894172202,34
"few hour",0.044286010179177,34
"found the",0.044286010179177,34
"includ the",0.044286010179177,34
"is easi",0.044286010179177,34
"we love",0.044286010179177,34
"the baron",0.0441669351277084,33
"art to",0.0440043002854526,34
"centuri and",0.0440043002854526,34
"is realli",0.0440043002854526,34
"spent a",0.0440043002854526,34
"to prado",0.0440043002854526,34
"went on",0.0440043002854526,34
"saw the",0.0438564296585723,33
"the paseo",0.0438564296585723,33
"the wall",0.0438564296585723,33
"impressionist art",0.0435561065519504,33
"of th",0.0435561065519504,33
"a gem",0.0432653191402432,33
"by far",0.0432653191402432,33
"centuri of",0.0432653191402432,33
"collect which",0.0432653191402432,33
"compar to",0.0432653191402432,33
"free entri",0.0432653191402432,33
"galleri is",0.0432653191402432,33
"may be",0.0432653191402432,33
"museum shop",0.0432653191402432,33
"paint were",0.0432653191402432,33
"perman exhibit",0.0432653191402432,33
"piec from",0.0432653191402432,33
"the crowd",0.0432653191402432,33
"easier to",0.0429834804680248,33
"enjoy a",0.0429834804680248,33
"fantast collect",0.0429834804680248,33
"hour and",0.0429834804680248,33
"like to",0.0429834804680248,33
